amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,scheme_name,fund_house,category,expense_ratio_pct,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_date,alpha,beta,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
118633,0.25539980483954094,0.2108997654925684,0.14188358083768593,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.72,0.6452074382933215,1.1544757169236237,-0.18629743138595511,2024-02-29,0.15643835948169668,-0.03663900671860934,15.0,21.0,22.0,5.5,26.0,17.575
102885,0.20207703983094838,0.1966726206830185,0.1587882255741997,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,1.57,0.8170993373494368,1.4357420130649492,-0.1085986215250232,2022-03-29,0.17048756803412696,-0.019486785689474536,18.0,16.0,19.0,34.0,7.0,18.999999999999996
120503,0.08489081269294418,0.13978381933703043,0.16355566129520227,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,1.42,0.7979728586052847,1.3379431500669237,-0.13897862823061635,2023-11-09,0.17703302365844073,-0.040268952369820595,25.0,17.0,17.0,20.0,14.0,19.549999999999997
148568,0.14269394138778924,0.14748035533586012,0.1956595954624316,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,1.52,0.9262873467360146,1.6327409778735162,-0.1527259422823477,2024-01-24,0.20873010086942337,-0.02638771994384303,24.0,15.0,14.0,26.5,19.0,19.625
120506,0.4181904829701364,0.1842199653744454,0.1488859671244569,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,1.41,0.6488787755249532,1.0958951614736467,-0.1982565826298267,2023-08-14,0.1625385327998104,0.041896462728119754,20.0,20.0,20.0,19.0,27.0,20.55
120507,0.0742505077613469,0.07394286300360076,0.06341690270358713,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,0.4957233929533124,1.0521238822609293,-0.0009773140045925555,2025-10-20,0.06746210411099539,-0.00044409263297072297,29.0,23.0,31.0,7.0,1.0,21.8
119093,0.197667410165155,0.20816771175535864,0.06917406025598449,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.75,0.12961449795669325,0.22108683979276347,-0.21751396370148224,2023-05-22,0.08232801295222093,0.02588321244009315,16.0,29.0,28.0,8.0,31.0,21.950000000000003
102887,0.135831349444816,0.25556187904126526,0.146781096489218,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.64,0.6195175900829828,1.0887552508030014,-0.21539827112383225,2022-07-04,0.16211256794033255,0.016682689437770806,13.0,22.0,21.0,39.5,30.0,22.525000000000002
149322,0.1811115252275146,0.18044206486636138,0.11695026862847113,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1.54,0.4640374492204777,0.7621288703723165,-0.14844576917771746,2022-02-04,0.13173190226099432,-0.0040502711300065145,21.0,25.0,24.0,30.5,16.0,23.525000000000002
125498,0.15443720834451846,0.11245222866621418,0.09880199138430035,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.78,0.3006119210425478,0.508812819716923,-0.21117279560132118,2025-09-12,0.11989100971217971,0.009054412621739182,26.0,27.0,26.0,10.0,29.0,24.15
120844,0.07120323042122512,0.06695971624586994,0.060604313665645115,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,-0.08874729621557331,-0.1877230477424232,-0.0011629327956168556,2024-04-30,0.06455677495375998,-0.0004007442394784006,30.0,34.0,32.0,3.0,2.0,24.549999999999997
120841,0.16837098075385626,0.1726727508371786,0.1181544242649819,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.59,0.49427253786723496,0.8625738849916581,-0.1757361416468729,2025-02-14,0.13042924450705445,0.036356399022199795,22.0,24.0,25.0,35.0,24.0,25.25
118634,0.15811221971300937,0.08007927728656083,0.14274127320122987,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1.53,0.4484340089089914,0.7460146308533572,-0.2334488614483311,2026-02-20,0.1750072167561127,0.10349663691337589,27.0,26.0,18.0,28.5,32.0,25.674999999999997
118636,0.10454939683040276,0.040622050237771434,0.046639279794601585,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,-0.356629507514368,-0.6135251287271027,-0.08316361763638702,2024-02-09,0.05074772999976104,0.0012566742731558499,33.0,38.0,35.0,1.0,6.0,27.15
119120,0.055219955107626895,0.05840358798463097,0.051644356698553606,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,-0.22657538662791596,-0.3767670081706672,-0.04328728923970093,2025-04-01,0.05620895216638369,-0.006413850728276474,32.0,37.0,34.0,9.0,5.0,27.500000000000004
101208,0.0723664530138024,0.06315784491375509,0.05705734207350055,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,-0.8155673679088278,-1.6810378667512837,-0.0016224980244717857,2023-09-12,0.060861457957871144,0.00026670968338238357,31.0,40.0,33.0,11.0,3.0,27.849999999999998
100025,0.03704968580461343,0.039163899571040384,0.03912652604315703,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,-0.5670947928476847,-0.9418212366054207,-0.04308263824636349,2023-07-28,0.042817920315060876,0.0011582183155281435,34.0,39.0,38.0,2.0,4.0,28.25
120842,0.2250195657587366,0.07756003551327284,0.05873842419478348,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.56,0.07599984804658917,0.12469346986475664,-0.24003511326274884,2024-10-17,0.0780443887615508,0.018056874208118173,28.0,30.0,29.0,33.0,33.0,29.950000000000003
119599,0.1394780335518997,-0.01337386614488112,0.01805621440370042,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,-0.05718662582817997,-0.09438726129459607,-0.5257422117012851,2025-10-28,0.048824215945539845,0.062001804382671666,38.0,32.0,36.0,5.5,40.0,31.424999999999997
119092,0.016091186722522632,0.005258871209757432,0.055825550357928355,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.64,0.030784850954585913,0.05257398559304797,-0.1440161790933726,2025-02-07,0.0689952982167755,0.009730745001153611,36.0,31.0,30.0,39.5,15.0,31.974999999999998
101207,-0.23986031710270628,-0.04152381044854481,0.0695333570223926,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.53,0.1626607692864677,0.27664379626092334,-0.3544691649336603,2026-05-11,0.10897091901704538,-0.06528924788351524,39.0,28.0,27.0,28.5,38.0,32.175
119095,-0.427976145588544,-0.11705806723995271,0.013376247776951455,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,-0.07597357117478923,-0.12818559275851932,-0.5167775370852656,2026-05-11,0.048015953637759554,-0.06695117463929201,40.0,33.0,37.0,17.0,39.0,34.1
100016,-0.02224270997710287,0.01292649342495622,0.023168434686413164,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.55,-0.2015170675596694,-0.35104746015230903,-0.24734440880673303,2022-09-15,0.03747580763443281,-0.058268431438808936,35.0,35.0,39.0,32.0,34.0,35.25
102886,-0.16797480944407306,-0.007674063178547241,0.010303498015576507,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.51,-0.20583160785470314,-0.34722230254727277,-0.2800112356639287,2026-04-27,0.02896939786637944,-0.0421250290218943,37.0,36.0,40.0,24.5,35.0,35.275000000000006
